epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,58.7687,0.8794,0.84712,0.94727,0.019,0.71989,0.50089,0.54274,0.4139,0.78991,0.70474,0.92788,0.01093,0.00063,0.00021,0.00063,0.00021,0.00066,0.00024,0.00063,0.00021
2,92.9453,0.87196,0.82586,0.94964,0.01796,0.66822,0.51697,0.53759,0.40985,0.7897,0.70787,0.92789,0.01095,0.000898226,0.000299409,0.000898226,0.000299409,0.000898226,0.000299409,0.000898226,0.000299409
3,126.688,0.86459,0.82284,0.94589,0.01715,0.67155,0.51397,0.53535,0.4104,0.78764,0.70647,0.9275,0.01104,0.000892931,0.000297644,0.000892931,0.000297644,0.000892931,0.000297644,0.000892931,0.000297644
4,160.736,0.8457,0.78411,0.94296,0.01667,0.64413,0.52588,0.53733,0.40998,0.78936,0.70519,0.92798,0.01097,0.0008842,0.000294733,0.0008842,0.000294733,0.0008842,0.000294733,0.0008842,0.000294733
5,194.267,0.85172,0.79995,0.94536,0.01705,0.69251,0.50324,0.54004,0.41285,0.78881,0.70504,0.92808,0.011,0.000872169,0.000290723,0.000872169,0.000290723,0.000872169,0.000290723,0.000872169,0.000290723
6,228.318,0.86542,0.83649,0.94929,0.01797,0.67656,0.51109,0.53963,0.41075,0.7909,0.70437,0.92837,0.01095,0.000857029,0.000285676,0.000857029,0.000285676,0.000857029,0.000285676,0.000857029,0.000285676
7,262.098,0.84766,0.80221,0.94443,0.0175,0.67264,0.5082,0.54056,0.41254,0.78884,0.70176,0.92775,0.01096,0.000839018,0.000279673,0.000839018,0.000279673,0.000839018,0.000279673,0.000839018,0.000279673
8,295.839,0.85996,0.81559,0.94282,0.01767,0.64722,0.51773,0.54139,0.4133,0.79112,0.70439,0.92845,0.0109,0.00081842,0.000272807,0.00081842,0.000272807,0.00081842,0.000272807,0.00081842,0.000272807
9,329.417,0.84443,0.80143,0.94155,0.01633,0.6857,0.50731,0.53851,0.41052,0.79147,0.7059,0.9287,0.01104,0.000795561,0.000265187,0.000795561,0.000265187,0.000795561,0.000265187,0.000795561,0.000265187
10,362.725,0.85336,0.81407,0.95318,0.0166,0.69442,0.50523,0.54229,0.41395,0.79004,0.70387,0.92815,0.01098,0.0007708,0.000256933,0.0007708,0.000256933,0.0007708,0.000256933,0.0007708,0.000256933
11,395.685,0.84738,0.79973,0.93955,0.01671,0.65287,0.5121,0.53725,0.41032,0.78955,0.7053,0.92766,0.01097,0.000744529,0.000248176,0.000744529,0.000248176,0.000744529,0.000248176,0.000744529,0.000248176
12,429.163,0.84537,0.81291,0.93822,0.01778,0.68231,0.50631,0.54131,0.41248,0.7893,0.70306,0.92796,0.01092,0.000717161,0.000239054,0.000717161,0.000239054,0.000717161,0.000239054,0.000717161,0.000239054
13,462.927,0.84214,0.80264,0.94329,0.01703,0.65839,0.51616,0.54064,0.41197,0.78766,0.70185,0.9276,0.01094,0.000689128,0.000229709,0.000689128,0.000229709,0.000689128,0.000229709,0.000689128,0.000229709
14,496.513,0.86159,0.82122,0.94579,0.01812,0.68324,0.51221,0.54405,0.41539,0.78586,0.70224,0.92673,0.01091,0.000660872,0.000220291,0.000660872,0.000220291,0.000660872,0.000220291,0.000660872,0.000220291
15,529.851,0.84629,0.79667,0.94387,0.01633,0.69878,0.50842,0.54318,0.41454,0.78725,0.70201,0.92698,0.01089,0.000632839,0.000210946,0.000632839,0.000210946,0.000632839,0.000210946,0.000632839,0.000210946
16,563.39,0.84611,0.80621,0.93966,0.01717,0.68216,0.51135,0.54288,0.41431,0.78908,0.70176,0.92779,0.01093,0.000605471,0.000201824,0.000605471,0.000201824,0.000605471,0.000201824,0.000605471,0.000201824
17,596.885,0.87397,0.83997,0.9477,0.0189,0.67175,0.51263,0.54251,0.41304,0.78814,0.70258,0.92771,0.01094,0.0005792,0.000193067,0.0005792,0.000193067,0.0005792,0.000193067,0.0005792,0.000193067
18,629.732,0.8569,0.8132,0.94756,0.01719,0.66569,0.52192,0.54261,0.41522,0.78903,0.70334,0.92787,0.01098,0.000554439,0.000184813,0.000554439,0.000184813,0.000554439,0.000184813,0.000554439,0.000184813
19,662.615,0.85248,0.81108,0.94132,0.01747,0.69138,0.51781,0.54313,0.41448,0.78881,0.69993,0.92761,0.01091,0.00053158,0.000177193,0.00053158,0.000177193,0.00053158,0.000177193,0.00053158,0.000177193
20,696.22,0.85813,0.80631,0.94922,0.01723,0.69659,0.51453,0.54633,0.41714,0.78779,0.70082,0.92753,0.01089,0.000510982,0.000170327,0.000510982,0.000170327,0.000510982,0.000170327,0.000510982,0.000170327
21,729.756,0.86581,0.82834,0.94814,0.01773,0.69847,0.51277,0.5451,0.41577,0.78846,0.70023,0.92754,0.01088,0.000492971,0.000164324,0.000492971,0.000164324,0.000492971,0.000164324,0.000492971,0.000164324
22,762.999,0.85259,0.80897,0.94562,0.01731,0.70897,0.5155,0.54528,0.41621,0.78906,0.70002,0.9279,0.01092,0.000477831,0.000159277,0.000477831,0.000159277,0.000477831,0.000159277,0.000477831,0.000159277
23,796.337,0.86218,0.82595,0.94916,0.01789,0.69734,0.523,0.54338,0.41592,0.78859,0.69994,0.92799,0.01097,0.0004658,0.000155267,0.0004658,0.000155267,0.0004658,0.000155267,0.0004658,0.000155267
24,829.97,0.85612,0.81292,0.94594,0.0172,0.70997,0.50838,0.54508,0.41505,0.78773,0.69965,0.92774,0.01084,0.000457069,0.000152356,0.000457069,0.000152356,0.000457069,0.000152356,0.000457069,0.000152356
25,863.555,0.85619,0.80798,0.94745,0.01727,0.68752,0.5104,0.53912,0.41171,0.79022,0.70221,0.92833,0.01089,0.000451774,0.000150591,0.000451774,0.000150591,0.000451774,0.000150591,0.000451774,0.000150591
