epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,313.127,4.92219,1e-05,3.38028,0.47976,0,0,0,0,5.96567,0,4.60094,0.50955,0.00985915,0.00328638,0.00985915,0.00328638,0.00985915,0.00328638,0.00985915,0.00328638
2,468.785,2.56288,1e-05,1.78579,0.32286,0.03633,0.00159,0.00063,0.00034,2.01008,1e-05,1.55563,0.20811,0.019859,0.00661965,0.019859,0.00661965,0.019859,0.00661965,0.019859,0.00661965
3,596.185,1.97727,1e-05,1.46667,0.20728,0.0438,0.04945,0.01828,0.00757,2.23993,1e-05,1.72305,0.20026,0.029858,0.00995266,0.029858,0.00995266,0.029858,0.00995266,0.029858,0.00995266
