epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
27,1520.52,1.1385,1.35312,1.0964,0.03378,0.62483,0.27172,0.23535,0.17122,0.97282,1.05075,1.04545,0.01791,0.0299505,0.0099835,0.0299505,0.0099835,0.0299505,0.0099835,0.0299505,0.0099835
28,1556.13,1.13265,1.34397,1.07335,0.03547,0.66555,0.27862,0.24934,0.17564,0.98224,1.05892,1.05026,0.01771,0.0299466,0.0099822,0.0299466,0.0099822,0.0299466,0.0099822,0.0299466,0.0099822
29,1591.17,1.13232,1.33156,1.08767,0.03526,0.42976,0.32057,0.24057,0.1718,0.97954,1.06685,1.04945,0.01763,0.0299426,0.00998086,0.0299426,0.00998086,0.0299426,0.00998086,0.0299426,0.00998086
30,1627.3,1.13204,1.32223,1.0886,0.03398,0.63661,0.31569,0.24655,0.17293,0.98449,1.08707,1.05672,0.01757,0.0299384,0.00997947,0.0299384,0.00997947,0.0299384,0.00997947,0.0299384,0.00997947
31,1662.9,1.13509,1.3404,1.08201,0.0355,0.57274,0.32577,0.25843,0.18036,0.9716,1.05692,1.03745,0.01758,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
32,1698.16,1.14121,1.3365,1.06901,0.03489,0.59357,0.31619,0.25394,0.17835,0.98097,1.09366,1.02788,0.01733,0.0299296,0.00997654,0.0299296,0.00997654,0.0299296,0.00997654,0.0299296,0.00997654
33,1733.05,1.13255,1.32036,1.05801,0.0333,0.60071,0.27965,0.22986,0.16611,0.98458,1.06048,1.02598,0.01784,0.029925,0.00997501,0.029925,0.00997501,0.029925,0.00997501,0.029925,0.00997501
34,1768.5,1.14222,1.33029,1.06181,0.03477,0.47828,0.32694,0.27016,0.18938,0.95833,1.04404,1.01575,0.01795,0.0299203,0.00997342,0.0299203,0.00997342,0.0299203,0.00997342,0.0299203,0.00997342
35,1811.37,1.1466,1.35439,1.06819,0.03343,0.59948,0.297,0.26091,0.18278,0.9812,1.04902,1.02277,0.01726,0.0299154,0.00997179,0.0299154,0.00997179,0.0299154,0.00997179,0.0299154,0.00997179
36,1846.52,1.1256,1.30662,1.04512,0.03387,0.77529,0.26205,0.25391,0.18135,0.97829,1.02678,1.01523,0.01694,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
37,1884.6,1.13903,1.33702,1.06489,0.03363,0.6214,0.29533,0.26619,0.1882,0.96543,1.04131,1.01164,0.01651,0.0299051,0.00996838,0.0299051,0.00996838,0.0299051,0.00996838,0.0299051,0.00996838
38,1925.05,1.12761,1.31889,1.04811,0.03255,0.49543,0.31982,0.27096,0.19239,0.95754,1.00887,1.00001,0.01808,0.0298998,0.0099666,0.0298998,0.0099666,0.0298998,0.0099666,0.0298998,0.0099666
39,1962.76,1.132,1.31989,1.05122,0.03551,0.57194,0.31642,0.25731,0.18715,0.94972,1.03012,1.00073,0.0168,0.0298943,0.00996477,0.0298943,0.00996477,0.0298943,0.00996477,0.0298943,0.00996477
40,2005.03,1.11965,1.29668,1.04592,0.03254,0.69269,0.29908,0.27676,0.19361,0.957,1.02195,0.99633,0.01675,0.0298887,0.00996289,0.0298887,0.00996289,0.0298887,0.00996289,0.0298887,0.00996289
41,2060.85,1.10403,1.27856,1.03505,0.03217,0.57647,0.32947,0.27381,0.19439,0.94888,1.00948,0.9946,0.01633,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
42,2098.31,1.11475,1.28503,1.04202,0.03175,0.58131,0.2619,0.24945,0.18214,0.96568,1.02827,1.00275,0.01624,0.029877,0.00995899,0.029877,0.00995899,0.029877,0.00995899,0.029877,0.00995899
43,2139.34,1.12642,1.29091,1.0415,0.03215,0.63058,0.31073,0.28574,0.20085,0.94545,1.00716,0.99766,0.01643,0.0298709,0.00995697,0.0298709,0.00995697,0.0298709,0.00995697,0.0298709,0.00995697
44,2179.74,1.10693,1.28205,1.03857,0.03134,0.52229,0.30058,0.27074,0.19617,0.94812,1.0042,0.99216,0.01585,0.0298647,0.0099549,0.0298647,0.0099549,0.0298647,0.0099549,0.0298647,0.0099549
45,2220.01,1.11309,1.28338,1.03612,0.03227,0.60071,0.3144,0.29292,0.2049,0.97395,1.02947,1.0026,0.01612,0.0298584,0.00995278,0.0298584,0.00995278,0.0298584,0.00995278,0.0298584,0.00995278
46,2259.9,1.12963,1.3019,1.03554,0.03329,0.41449,0.34005,0.28797,0.20685,0.93567,0.98582,0.98886,0.01573,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
47,2295.17,1.10245,1.26586,1.02572,0.03158,0.4892,0.34578,0.29309,0.20721,0.94679,0.99666,0.99167,0.01546,0.0298452,0.0099484,0.0298452,0.0099484,0.0298452,0.0099484,0.0298452,0.0099484
48,2331.02,1.0905,1.26578,1.03011,0.02992,0.59387,0.32388,0.28295,0.19922,0.97329,1.01271,1.00342,0.01726,0.0298384,0.00994614,0.0298384,0.00994614,0.0298384,0.00994614,0.0298384,0.00994614
49,2366.02,1.12632,1.30705,1.03269,0.033,0.49183,0.35736,0.2973,0.21195,0.94663,0.9843,0.99042,0.01618,0.0298315,0.00994383,0.0298315,0.00994383,0.0298315,0.00994383,0.0298315,0.00994383
50,2401.05,1.12124,1.29695,1.04579,0.0332,0.49586,0.33573,0.28938,0.20827,0.94431,0.98555,0.99131,0.01537,0.0298244,0.00994147,0.0298244,0.00994147,0.0298244,0.00994147,0.0298244,0.00994147
51,2435.56,1.11254,1.29092,1.035,0.03196,0.37761,0.34243,0.27477,0.20048,0.93352,0.97959,0.98405,0.01573,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
52,2469.92,1.12279,1.28268,1.03138,0.03249,0.59597,0.34234,0.2976,0.21155,0.92821,0.98555,0.98507,0.0153,0.0298098,0.0099366,0.0298098,0.0099366,0.0298098,0.0099366,0.0298098,0.0099366
53,2504.68,1.10931,1.28557,1.02874,0.032,0.4964,0.34512,0.30344,0.21558,0.94032,0.98367,0.9868,0.01549,0.0298023,0.0099341,0.0298023,0.0099341,0.0298023,0.0099341,0.0298023,0.0099341
54,2538.97,1.10255,1.26479,1.02774,0.02943,0.61051,0.29134,0.29902,0.21455,0.9368,0.97346,0.98874,0.01638,0.0297946,0.00993154,0.0297946,0.00993154,0.0297946,0.00993154,0.0297946,0.00993154
55,2573.56,1.10084,1.26468,1.03526,0.03269,0.43576,0.36101,0.29715,0.21352,0.93836,0.97273,0.9891,0.0165,0.0297868,0.00992894,0.0297868,0.00992894,0.0297868,0.00992894,0.0297868,0.00992894
56,2607.87,1.09465,1.25673,1.02924,0.03087,0.58576,0.33356,0.30592,0.21958,0.92536,0.97323,0.98364,0.01527,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
57,2642.87,1.10947,1.26828,1.02682,0.03227,0.42299,0.34744,0.30342,0.21615,0.92733,0.96657,0.98272,0.01528,0.0297708,0.00992359,0.0297708,0.00992359,0.0297708,0.00992359,0.0297708,0.00992359
58,2677.61,1.10477,1.26454,1.03063,0.03235,0.52463,0.33085,0.29158,0.21216,0.9383,0.98417,0.98931,0.01621,0.0297625,0.00992085,0.0297625,0.00992085,0.0297625,0.00992085,0.0297625,0.00992085
59,2711.97,1.10113,1.26664,1.02767,0.03055,0.48551,0.36504,0.30687,0.21881,0.92467,0.95971,0.98291,0.0151,0.0297542,0.00991805,0.0297542,0.00991805,0.0297542,0.00991805,0.0297542,0.00991805
60,2746.59,1.07808,1.23907,1.02534,0.02894,0.49886,0.34084,0.30581,0.21924,0.92932,0.96783,0.98297,0.01546,0.0297456,0.00991521,0.0297456,0.00991521,0.0297456,0.00991521,0.0297456,0.00991521
