epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,231.901,1.08413,1.06842,0.94726,0.07334,0.49093,0.48957,0.44854,0.32035,0.88474,0.79541,0.9415,0.01796,0.0198592,0.00661972,0.0198592,0.00661972,0.0867606,0.0735211,0.0198592,0.00661972
2,315.507,1.08982,1.08278,0.97184,0.05715,0.4089,0.36111,0.32519,0.2302,0.97638,0.91916,0.96457,0.02444,0.0398588,0.0132863,0.0398588,0.0132863,0.0734268,0.0468543,0.0398588,0.0132863
3,404.312,1.11084,1.19997,0.99869,0.04365,0.48661,0.25129,0.20659,0.13881,1.08301,1.32099,1.03085,0.02372,0.0598568,0.0199523,0.0598568,0.0199523,0.0600915,0.020187,0.0598568,0.0199523
4,488.092,1.12516,1.25413,1.01897,0.03926,0.43872,0.32829,0.28443,0.20484,0.95127,0.87602,0.98505,0.01969,0.0599947,0.0199982,0.0599947,0.0199982,0.0599947,0.0199982,0.0599947,0.0199982
5,570.035,1.10833,1.22689,1.01907,0.03911,0.41842,0.33152,0.28473,0.19975,0.97731,0.93095,0.99066,0.02172,0.0599905,0.0199968,0.0599905,0.0199968,0.0599905,0.0199968,0.0599905,0.0199968
6,649.201,1.11138,1.22297,1.01389,0.04033,0.50592,0.33918,0.31567,0.22286,0.96996,0.88445,0.97814,0.02272,0.0599852,0.0199951,0.0599852,0.0199951,0.0599852,0.0199951,0.0599852,0.0199951
7,732.765,1.11636,1.229,1.01086,0.04253,0.39878,0.36296,0.31208,0.20858,0.97865,0.91591,0.98839,0.02483,0.0599787,0.0199929,0.0599787,0.0199929,0.0599787,0.0199929,0.0599787,0.0199929
