epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
27,2504.24,1.10229,0.14786,1.07796,0.03377,0.63756,0.20061,0.11691,0.08498,0.94374,0.13586,1.01313,0.01708,0.0298023,0.0099341,0.0298023,0.0099341,0.0298023,0.0099341,0.0298023,0.0099341
28,2587.14,1.0951,0.14721,1.04282,0.03488,0.44285,0.19911,0.11679,0.08521,0.95369,0.13585,1.01222,0.0168,0.0297868,0.00992894,0.0297868,0.00992894,0.0297868,0.00992894,0.0297868,0.00992894
29,2670.3,1.09192,0.14668,1.05695,0.03503,0.44156,0.19904,0.11154,0.08066,0.95325,0.1371,1.01307,0.01713,0.0297708,0.00992359,0.0297708,0.00992359,0.0297708,0.00992359,0.0297708,0.00992359
30,2754.01,1.09427,0.14609,1.05544,0.03481,0.5417,0.21979,0.13093,0.09587,0.93701,0.13625,1.00678,0.01696,0.0297542,0.00991805,0.0297542,0.00991805,0.0297542,0.00991805,0.0297542,0.00991805
31,2837.87,1.091,0.14691,1.05086,0.03458,0.53902,0.22515,0.13324,0.09703,0.94669,0.13593,1.00835,0.01622,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
32,2921.37,1.10009,0.1465,1.05077,0.03403,0.42986,0.19372,0.10513,0.07603,0.95961,0.13801,1.01712,0.01652,0.0297192,0.0099064,0.0297192,0.0099064,0.0297192,0.0099064,0.0297192,0.0099064
33,3005,1.08821,0.14579,1.04126,0.03248,0.44048,0.18729,0.1088,0.0798,0.94046,0.13596,1.00623,0.01624,0.0297008,0.00990028,0.0297008,0.00990028,0.0297008,0.00990028,0.0297008,0.00990028
34,3089.17,1.0997,0.14744,1.04211,0.03546,0.54985,0.18987,0.11206,0.08219,0.9292,0.13407,0.99671,0.01597,0.0296819,0.00989398,0.0296819,0.00989398,0.0296819,0.00989398,0.0296819,0.00989398
35,3180.86,1.10686,0.14903,1.04912,0.03305,0.52459,0.19166,0.11008,0.07914,0.96273,0.13685,1.00906,0.01649,0.0296624,0.00988748,0.0296624,0.00988748,0.0296624,0.00988748,0.0296624,0.00988748
36,3264.07,1.08554,0.14459,1.02851,0.03349,0.43068,0.18938,0.11401,0.08279,0.93526,0.13466,0.99954,0.01609,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
37,3347.27,1.09498,0.14746,1.04782,0.03325,0.5469,0.20425,0.11417,0.08376,0.9313,0.135,0.99577,0.01596,0.0296217,0.00987391,0.0296217,0.00987391,0.0296217,0.00987391,0.0296217,0.00987391
38,3430.47,1.08674,0.1458,1.03544,0.03148,0.43456,0.19783,0.11529,0.08501,0.92139,0.13372,0.9902,0.01589,0.0296005,0.00986684,0.0296005,0.00986684,0.0296005,0.00986684,0.0296005,0.00986684
39,3513.57,1.08809,0.14558,1.03878,0.03369,0.45474,0.23679,0.13859,0.10272,0.9143,0.13246,0.98857,0.01524,0.0295787,0.00985958,0.0295787,0.00985958,0.0295787,0.00985958,0.0295787,0.00985958
