epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1018.26,5.91124,5.57776,4.27082,0.52595,0,0,0,0,5.71153,4.87365,4.00982,0.53389,0.0078,0.0026,0.0078,0.0026,0.0078,0.0026,0.0078,0.0026
2,2072.87,3.73907,4.07688,2.39796,0.43462,0,0,0,0,5.82505,4.89942,4.456,0.51161,0.0159,0.00529999,0.0159,0.00529999,0.0159,0.00529999,0.0159,0.00529999
3,3107.28,2.67908,3.01331,1.80262,0.33978,0,0,0,0,5.79159,4.96184,4.42072,0.53177,0.0239998,0.00799992,0.0239998,0.00799992,0.0239998,0.00799992,0.0239998,0.00799992
4,3757.3,2.24225,2.64469,1.5832,0.26322,0.04259,0.10751,0.03513,0.0163,2.06673,2.34625,1.57002,0.20462,0.0299993,0.00999978,0.0299993,0.00999978,0.0299993,0.00999978,0.0299993,0.00999978
