epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
27,2065.46,0.90471,0.91112,0.95659,0.01942,0.51728,0.48112,0.47227,0.34946,0.83868,0.69536,0.94471,0.01238,0.0143838,0.00479459,0.0143838,0.00479459,0.0143838,0.00479459,0.0143838,0.00479459
28,2134.62,0.89832,0.89341,0.95641,0.01978,0.49974,0.48163,0.46136,0.34389,0.83647,0.70816,0.94411,0.0123,0.0143362,0.00477873,0.0143362,0.00477873,0.0143362,0.00477873,0.0143362,0.00477873
29,2203.95,0.90937,0.91791,0.96128,0.02055,0.57554,0.44595,0.47245,0.34971,0.83591,0.71171,0.94298,0.0126,0.0142869,0.00476231,0.0142869,0.00476231,0.0142869,0.00476231,0.0142869,0.00476231
30,2272.37,0.90683,0.90441,0.96299,0.01951,0.53987,0.44292,0.45925,0.34388,0.83737,0.71203,0.9436,0.01245,0.014236,0.00474532,0.014236,0.00474532,0.014236,0.00474532,0.014236,0.00474532
31,2348.09,0.90292,0.90492,0.96616,0.01975,0.52649,0.44712,0.45251,0.33327,0.85482,0.71851,0.95235,0.01269,0.0141834,0.00472779,0.0141834,0.00472779,0.0141834,0.00472779,0.0141834,0.00472779
32,2414.87,0.90801,0.91362,0.96178,0.02083,0.48533,0.50649,0.46181,0.34355,0.84161,0.70965,0.94581,0.01248,0.0141291,0.0047097,0.0141291,0.0047097,0.0141291,0.0047097,0.0141291,0.0047097
33,2481.08,0.90012,0.89301,0.9584,0.01991,0.51311,0.48072,0.46705,0.34747,0.84431,0.71578,0.95048,0.01448,0.0140732,0.00469108,0.0140732,0.00469108,0.0140732,0.00469108,0.0140732,0.00469108
34,2549.61,0.90214,0.88986,0.96563,0.0198,0.66512,0.46065,0.477,0.35533,0.83356,0.70186,0.94184,0.01215,0.0140157,0.00467191,0.0140157,0.00467191,0.0140157,0.00467191,0.0140157,0.00467191
35,2615.77,0.90778,0.90628,0.96053,0.01998,0.57528,0.4533,0.47123,0.34965,0.83975,0.69649,0.94429,0.01228,0.0139566,0.0046522,0.0139566,0.0046522,0.0139566,0.0046522,0.0139566,0.0046522
36,2681.67,0.90247,0.90253,0.95915,0.01943,0.54402,0.47841,0.47068,0.35025,0.8301,0.69188,0.94152,0.01276,0.0138959,0.00463197,0.0138959,0.00463197,0.0138959,0.00463197,0.0138959,0.00463197
37,2750,0.89219,0.88963,0.95982,0.01919,0.5494,0.46142,0.4722,0.3504,0.84224,0.71009,0.94771,0.01252,0.0138336,0.00461121,0.0138336,0.00461121,0.0138336,0.00461121,0.0138336,0.00461121
38,2816.15,0.8998,0.88716,0.96069,0.01927,0.58149,0.46813,0.47916,0.35568,0.82802,0.69558,0.94091,0.01198,0.0137698,0.00458993,0.0137698,0.00458993,0.0137698,0.00458993,0.0137698,0.00458993
39,2884.12,0.91193,0.91151,0.96294,0.02031,0.5655,0.502,0.49223,0.36579,0.8342,0.68789,0.94521,0.01237,0.0137044,0.00456813,0.0137044,0.00456813,0.0137044,0.00456813,0.0137044,0.00456813
40,2950.61,0.90182,0.90294,0.95742,0.01951,0.54287,0.48776,0.48348,0.36139,0.82778,0.6933,0.94065,0.01211,0.0136375,0.00454583,0.0136375,0.00454583,0.0136375,0.00454583,0.0136375,0.00454583
41,3016.78,0.89645,0.89752,0.9602,0.01906,0.56664,0.47883,0.4854,0.36451,0.82601,0.688,0.93997,0.01236,0.0135691,0.00452302,0.0135691,0.00452302,0.0135691,0.00452302,0.0135691,0.00452302
42,3082.23,0.90039,0.89927,0.962,0.02014,0.56583,0.46783,0.46849,0.34967,0.83393,0.69779,0.94357,0.01294,0.0134991,0.00449971,0.0134991,0.00449971,0.0134991,0.00449971,0.0134991,0.00449971
43,3147.93,0.90655,0.90061,0.95675,0.0199,0.53426,0.49707,0.48725,0.36262,0.83138,0.68647,0.94297,0.01221,0.0134277,0.00447591,0.0134277,0.00447591,0.0134277,0.00447591,0.0134277,0.00447591
44,3222.59,0.903,0.90428,0.95482,0.01947,0.55254,0.49679,0.48123,0.35627,0.83062,0.69335,0.94282,0.01213,0.0133549,0.00445162,0.0133549,0.00445162,0.0133549,0.00445162,0.0133549,0.00445162
45,3299.36,0.91174,0.91428,0.96039,0.0203,0.54877,0.50018,0.48943,0.36677,0.81994,0.67721,0.93795,0.0119,0.0132806,0.00442686,0.0132806,0.00442686,0.0132806,0.00442686,0.0132806,0.00442686
46,3364.5,0.89992,0.89688,0.96252,0.01964,0.65944,0.47276,0.48685,0.36478,0.82426,0.68113,0.93953,0.01202,0.0132048,0.00440161,0.0132048,0.00440161,0.0132048,0.00440161,0.0132048,0.00440161
47,3430.36,0.89783,0.88498,0.96361,0.01912,0.55299,0.48863,0.48596,0.3616,0.83754,0.69005,0.94524,0.01214,0.0131277,0.0043759,0.0131277,0.0043759,0.0131277,0.0043759,0.0131277,0.0043759
48,3497.78,0.89554,0.88883,0.95981,0.01908,0.55321,0.49302,0.4844,0.36242,0.82608,0.68355,0.93994,0.01191,0.0130492,0.00434973,0.0130492,0.00434973,0.0130492,0.00434973,0.0130492,0.00434973
49,3564.42,0.90386,0.9053,0.9584,0.01943,0.58751,0.48364,0.48781,0.36438,0.82245,0.68256,0.93886,0.01202,0.0129693,0.0043231,0.0129693,0.0043231,0.0129693,0.0043231,0.0129693,0.0043231
50,3630.35,0.89607,0.89194,0.96043,0.01929,0.60726,0.46505,0.48917,0.36474,0.8229,0.68106,0.93893,0.01215,0.0128881,0.00429602,0.0128881,0.00429602,0.0128881,0.00429602,0.0128881,0.00429602
51,3696.18,0.89751,0.88665,0.9614,0.01941,0.55645,0.49057,0.48691,0.36408,0.82343,0.6783,0.93935,0.01208,0.0128055,0.0042685,0.0128055,0.0042685,0.0128055,0.0042685,0.0128055,0.0042685
52,3762.27,0.89449,0.88638,0.95765,0.01887,0.56357,0.49222,0.47934,0.3561,0.8312,0.68976,0.94286,0.0121,0.0127216,0.00424054,0.0127216,0.00424054,0.0127216,0.00424054,0.0127216,0.00424054
53,3829.32,0.89465,0.88725,0.95718,0.01921,0.61177,0.47171,0.49255,0.36688,0.81894,0.67638,0.93828,0.01185,0.0126365,0.00421216,0.0126365,0.00421216,0.0126365,0.00421216,0.0126365,0.00421216
54,3895.19,0.89987,0.89782,0.95689,0.01914,0.58202,0.4811,0.49166,0.36954,0.81896,0.67888,0.9378,0.01184,0.01255,0.00418335,0.01255,0.00418335,0.01255,0.00418335,0.01255,0.00418335
55,3962.78,0.8994,0.89319,0.95936,0.0198,0.59478,0.4894,0.49019,0.36562,0.82631,0.68278,0.94108,0.01202,0.0124624,0.00415413,0.0124624,0.00415413,0.0124624,0.00415413,0.0124624,0.00415413
56,4027.93,0.9018,0.89338,0.96081,0.01975,0.57763,0.4948,0.49676,0.37071,0.82087,0.67677,0.93894,0.01196,0.0123735,0.0041245,0.0123735,0.0041245,0.0123735,0.0041245,0.0123735,0.0041245
57,4094.93,0.89622,0.89008,0.95842,0.01964,0.5561,0.48081,0.49732,0.37261,0.82121,0.67592,0.93936,0.01196,0.0122834,0.00409447,0.0122834,0.00409447,0.0122834,0.00409447,0.0122834,0.00409447
58,4161.07,0.89732,0.88114,0.96132,0.01965,0.57798,0.48224,0.49849,0.37379,0.82411,0.67473,0.94003,0.01194,0.0121921,0.00406404,0.0121921,0.00406404,0.0121921,0.00406404,0.0121921,0.00406404
59,4228.15,0.89884,0.89165,0.95711,0.01991,0.56359,0.49767,0.49515,0.37264,0.82013,0.6753,0.9386,0.01197,0.0120997,0.00403324,0.0120997,0.00403324,0.0120997,0.00403324,0.0120997,0.00403324
60,4295.87,0.9031,0.90213,0.95857,0.01994,0.57326,0.49957,0.49943,0.37321,0.82076,0.67425,0.93924,0.01196,0.0120061,0.00400205,0.0120061,0.00400205,0.0120061,0.00400205,0.0120061,0.00400205
