epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,258.908,4.91918,1e-05,3.37769,0.47862,0,0,0,0,5.96713,0,4.61231,0.5075,0.00985915,0.00328638,0.00985915,0.00328638,0.00985915,0.00328638,0.00985915,0.00328638
2,320.559,2.55204,1e-05,1.77789,0.31981,0.03815,0.00309,0.00175,0.00089,2.19598,1e-05,1.64647,0.24832,0.019859,0.00661965,0.019859,0.00661965,0.019859,0.00661965,0.019859,0.00661965
3,385.88,1.96135,1e-05,1.46429,0.19748,0.04789,0.04119,0.01296,0.0053,2.30217,2e-05,1.74037,0.15736,0.029858,0.00995266,0.029858,0.00995266,0.029858,0.00995266,0.029858,0.00995266
4,461.488,1.67479,1e-05,1.32627,0.11829,0.04234,0.0604,0.02566,0.01315,1.87728,2e-05,1.50942,0.13453,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912
5,618.099,1.5599,1e-05,1.24337,0.09436,0.26405,0.12187,0.04782,0.03017,1.30457,2e-05,1.17071,0.04821,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844
6,693.882,1.48804,1e-05,1.18764,0.07921,0.36999,0.12789,0.05428,0.03625,1.19183,2e-05,1.11838,0.03194,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
7,849.203,1.37791,1e-05,1.15095,0.06368,0.1796,0.15546,0.06075,0.04021,1.19172,1e-05,1.09569,0.03597,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648
8,1060.19,1.3514,0,1.13168,0.05657,0.17676,0.14859,0.06124,0.04122,1.14966,1e-05,1.07855,0.0304,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521
9,1110.14,1.29855,0,1.10808,0.05129,0.27172,0.14015,0.05286,0.03487,1.16953,1e-05,1.08707,0.02917,0.0299812,0.00999375,0.0299812,0.00999375,0.0299812,0.00999375,0.0299812,0.00999375
10,1161.39,1.27473,0,1.10906,0.04478,0.08129,0.1452,0.05662,0.03808,1.10898,1e-05,1.05053,0.02447,0.0299763,0.00999209,0.0299763,0.00999209,0.0299763,0.00999209,0.0299763,0.00999209
