epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,233.73,4.91918,1e-05,3.37769,0.47862,0,0,0,0,5.96713,0,4.61231,0.5075,0.00985915,0.00328638,0.00985915,0.00328638,0.00985915,0.00328638,0.00985915,0.00328638
2,276.441,2.55204,1e-05,1.77789,0.31981,0.03815,0.00309,0.00175,0.00089,2.19598,1e-05,1.64647,0.24832,0.019859,0.00661965,0.019859,0.00661965,0.019859,0.00661965,0.019859,0.00661965
3,320.588,1.96135,1e-05,1.46429,0.19748,0.04789,0.04119,0.01296,0.0053,2.30217,2e-05,1.74037,0.15736,0.029858,0.00995266,0.029858,0.00995266,0.029858,0.00995266,0.029858,0.00995266
4,366.011,1.67479,1e-05,1.32627,0.11829,0.04234,0.0604,0.02566,0.01315,1.87728,2e-05,1.50942,0.13453,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912
5,411.551,1.55812,1e-05,1.24284,0.09317,0.44909,0.10435,0.03268,0.02055,1.41492,4e-05,1.23342,0.06085,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844
6,457.27,1.4889,1e-05,1.18904,0.07943,0.47909,0.14595,0.06046,0.04024,1.18092,2e-05,1.10886,0.03473,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
