epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
28,689.75,1.16726,1.59325,1.11013,0.06582,0.3205,0.16479,0.07343,0.01574,0.87405,1.33248,0.9117,0.04159,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327
29,714.154,1.18606,1.58646,1.11562,0.06062,0.32397,0.16885,0.08092,0.01622,0.86688,1.29315,0.91889,0.0353,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
30,738.506,1.17375,1.57782,1.11086,0.06116,0.42866,0.17159,0.08235,0.01691,0.84733,1.26131,0.917,0.03706,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
31,763.019,1.15673,1.55321,1.10697,0.05916,0.32956,0.17373,0.08413,0.01808,0.85365,1.24705,0.91314,0.04655,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
32,787.408,1.14255,1.56345,1.10399,0.06216,0.43211,0.17163,0.08438,0.01749,0.85699,1.28384,0.91308,0.04853,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,811.825,1.13701,1.5734,1.10148,0.06675,0.44692,0.188,0.09803,0.02198,0.83193,1.19476,0.90305,0.03974,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,835.979,1.12977,1.55395,1.10003,0.06377,0.43775,0.17796,0.09166,0.01911,0.8468,1.20523,0.89402,0.03522,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,860.388,1.12519,1.50401,1.09383,0.05927,0.44264,0.17956,0.09854,0.02222,0.83333,1.21566,0.90786,0.03253,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,884.567,1.13379,1.53811,1.09994,0.05951,0.44815,0.17697,0.09923,0.02212,0.81193,1.18769,0.89879,0.03508,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,908.863,1.11172,1.51644,1.08933,0.05756,0.40995,0.15749,0.08467,0.01668,0.8658,1.25781,0.91299,0.04693,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
38,932.853,1.09922,1.50238,1.08991,0.06317,0.43041,0.17865,0.09237,0.01908,0.83398,1.24388,0.89812,0.03561,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
39,957.37,1.09643,1.51599,1.08552,0.05431,0.4591,0.17504,0.10268,0.02148,0.80093,1.15849,0.89161,0.03388,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
40,982.48,1.10963,1.51697,1.09268,0.05855,0.42855,0.17169,0.0873,0.01863,0.8507,1.22865,0.90314,0.03662,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
41,1006.53,1.10644,1.49578,1.0867,0.05728,0.44004,0.17683,0.10405,0.02182,0.80209,1.15844,0.88493,0.06094,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
42,1030.67,1.09419,1.4969,1.07527,0.0608,0.4487,0.19581,0.10831,0.02388,0.79145,1.18028,0.87681,0.03893,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
43,1054.89,1.08239,1.48634,1.07428,0.06428,0.44006,0.17875,0.09743,0.02079,0.7951,1.17703,0.85046,0.05473,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
44,1078.91,1.07908,1.48486,1.05823,0.06943,0.56473,0.18351,0.1081,0.02283,0.80459,1.16472,0.8424,0.04798,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743
45,1102.84,1.08588,1.47544,1.03385,0.06816,0.43494,0.18639,0.10394,0.02138,0.8033,1.15608,0.8221,0.04734,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
46,1127.1,1.06634,1.47542,1.00914,0.07221,0.56438,0.18574,0.10904,0.02285,0.77403,1.12165,0.81429,0.03546,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
47,1151.17,1.05333,1.45787,1.00381,0.06459,0.43684,0.18007,0.09496,0.01863,0.79809,1.1705,0.81282,0.04247,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
